protocol,jun1_usd,jun30_usd,change_pct
navi,152439478.09521,125966195.36435,-17.366421783683496
suilend,132513823,104279320,-21.30683604230481
scallop,19321535,13150969,-31.936210037142494
alphalend,65434071,55161903.86882529,-15.698499228597154
bucket,62432382,57081976,-8.569921295010015
