protocol,events_filtered,raw_events,debt_usd,avg_debt_usd,seized_usd,liquidators
scallop,822,890,915364.5988842095,1113.582237085413,445222.5736695607,44
navi,1597,3173,673486.6692296474,421.71989306803215,750183.1858254303,92
suilend,918,1423,400124.2132388011,435.8651560335524,417925.84313045,81
alphalend,843,1025,78993.06775729998,93.70470671091338,2773012.5829417403,50
