protocol,liquidator,events,share_pct
navi,0x16d7ddecfa33cf38fb5101198f92314db524bbf97c2d6e5ef6d9449af0144299,255,15.967438948027551
suilend,0x551187e5d09ff62da027b47fe50880408ea9b05e97fa67296a52120fe9bc52ad,149,16.23093681917211
scallop,0x8cff2b423fc6183dbb2eb05385d6a9b0127e94e3e80527086046f36a70b17cb4,158,19.22141119221411
alphalend,0xea6885049f01bd20b2e4b468db75eb9e2aefb44d139fdde5e6fae78b912c51dc,348,41.281138790035584
