protocol,symbol,supply_usd,borrows_usd,as_of
alphalend,ALPHA,5453052.21001821,0.5996163855013439,2026-06-30T00:45:33.518Z
alphalend,BLUE,505225.3521156632,368525.5855391637,2026-06-30T00:45:33.518Z
alphalend,BTCVC,3296594.361487088,0,2026-06-30T00:45:33.518Z
alphalend,DEEP,3243480.730199821,1655043.435191023,2026-06-30T00:45:33.518Z
alphalend,EBTC,653896.6644746062,48.62331332349693,2026-06-30T00:45:33.518Z
alphalend,EEARN,865150.1664567195,0,2026-06-30T00:45:33.518Z
alphalend,EGUSDC,1250520.334044462,11874.81014326056,2026-06-30T00:45:33.518Z
alphalend,ESUI,4133794.244695765,0.124853212083041,2026-06-30T00:45:33.518Z
alphalend,ETHIRD,6606729.892896662,0,2026-06-28T00:45:33.697Z
alphalend,IKA,252500.2788335826,1663.453939069862,2026-06-30T00:45:33.518Z
alphalend,STSUI,5580730.825616637,890008.7989269788,2026-06-30T00:45:33.518Z
alphalend,SUI,11448767.31416126,7283390.181658397,2026-06-30T00:45:33.518Z
alphalend,TBTC,2776195.668906826,1498384.268897195,2026-06-30T00:45:33.518Z
alphalend,USDC,32824334.81772972,26603076.96355883,2026-06-30T00:45:33.518Z
alphalend,USDSUI,7587438.542740914,2386632.155600146,2026-06-30T00:45:33.518Z
alphalend,USDT,5523777.929527714,3717139.834524132,2026-06-30T00:45:33.518Z
alphalend,WAL,3332496.282651322,803518.4047234257,2026-06-30T00:45:33.518Z
alphalend,WBTC,4812094.749747727,1031440.986229126,2026-06-30T00:45:33.518Z
alphalend,XAUM,1305375.160839164,532183.6723957785,2026-06-30T00:45:33.518Z
alphalend,XBTC,6485326.232992793,6096014.993894768,2026-06-30T00:45:33.518Z
bucket,BKT-AF-AFSUI-SUI,1.088297529007602,0,2026-06-30T01:24:53.128Z
bucket,BKT-KRIYA-FOUNTAIN-1,1.836384521479446,0,2026-06-30T01:24:53.128Z
bucket,BKT-PSM-BLUEFIN_STABLE_LP,140989.8835648905,0,2026-06-30T01:24:53.128Z
bucket,BKT-PSM-BUCKETUS,968568.5998161492,0,2026-06-30T01:24:53.128Z
bucket,BKT-PSM-CETABLE,0.2377236662132815,0,2026-06-30T01:24:53.128Z
bucket,BKT-PSM-FDUSD,0.07010931349988599,0,2026-06-30T01:24:53.128Z
bucket,BKT-PSM-STAPEARL,0.05952355069081783,0,2026-06-30T01:24:53.128Z
bucket,BKT-PSM-USDC_CIRCLE,59503.34757582915,0,2026-06-30T01:24:53.128Z
bucket,BKT-PSM-USDC_WORMHOLE,1.591491182941687,0,2026-06-30T01:24:53.128Z
bucket,BKT-PSM-USDT_WORMHOLE,0.1209794098836396,0,2026-06-30T01:24:53.128Z
bucket,BKT-SAVE-AFSUI_S,1323162.531352017,0,2026-06-30T01:24:53.128Z
bucket,BKT-SAVE-HASUI_NAVI_POND,0.8428758431995584,0,2026-06-30T01:24:53.128Z
bucket,BKT-SAVE-HASUI_S,2248674.862390318,0,2026-06-30T01:24:53.128Z
bucket,BKT-SAVE-NAVI_STSUI,626621.0444803819,0,2026-06-30T01:24:53.128Z
bucket,BKT-SAVE-NAVI_VSUI,0.6408327255431713,0,2026-06-30T01:24:53.128Z
bucket,BKT-SAVE-SUI_NAVI_POND,919052.0451674103,0,2026-06-30T01:24:53.128Z
bucket,BKT-SAVE-VSUI_S,1386217.052155773,0,2026-06-30T01:24:53.128Z
bucket,BKT-SCOIN-NAVI_CIRCLE_USDC,0.7061551941918741,0,2026-06-30T01:24:53.128Z
