date,protocol,events,debt_usd,seized_usd
2026-06-01,alphalend,15,435.273426106,164566.207717609
2026-06-01,navi,73,9042.072501802842,9946.993251695641
2026-06-01,scallop,18,3053.6185915292285,2484.7166058321186
2026-06-01,suilend,15,27428.824324500823,28516.750577718412
2026-06-02,alphalend,143,267.63576666299997,251442.06761619903
2026-06-02,navi,106,46455.130258671634,51093.85265793749
2026-06-02,scallop,96,74687.07379828506,73401.51005122557
2026-06-02,suilend,112,81680.59105635807,89649.28892316554
2026-06-03,alphalend,75,124.38640195899998,219255.470266788
2026-06-03,navi,125,37425.088596248956,42493.06405956631
2026-06-03,scallop,25,133698.50257637512,42913.018402275455
2026-06-03,suilend,121,13287.07244277144,13651.380132539405
2026-06-04,alphalend,175,645.6802889529996,751392.7888798262
2026-06-04,navi,91,32772.317798333315,36303.59239447294
2026-06-04,scallop,114,270463.92306291964,81567.37797569486
2026-06-04,suilend,106,4484.444023075799,4909.563565559536
2026-06-05,alphalend,180,117.90333424999997,491484.54705993703
2026-06-05,navi,160,62697.284156883135,69183.95469141741
2026-06-05,scallop,209,273970.1104860986,144715.2392346227
2026-06-05,suilend,179,95785.26013265636,86733.80100770124
2026-06-06,alphalend,24,3.8221325319999995,70412.818444784
2026-06-06,navi,87,15786.22987491691,17957.805401557234
2026-06-06,scallop,117,76335.41171810887,45807.52495522905
2026-06-06,suilend,138,107967.10547284527,118762.08734946183
2026-06-07,alphalend,10,3.814130123,125068.29855776599
2026-06-07,navi,12,1976.399478321184,2174.073794998181
2026-06-07,suilend,3,11.932949109511664,2.861893284791415
2026-06-08,alphalend,9,9.422336977,90123.547092488
2026-06-08,navi,20,79.22561939754357,87.1481779537117
2026-06-08,scallop,91,219.43999536685513,229.66839288677076
2026-06-09,alphalend,32,260.1102325569999,157417.991808241
2026-06-09,navi,46,3376.3616545195428,3709.135411958571
2026-06-09,scallop,4,252.79327651206515,258.2577276352913
2026-06-09,suilend,6,231.30529832305416,237.3439741005077
2026-06-10,alphalend,34,1194.478208003,210176.98273526298
2026-06-10,navi,34,1033.986044761284,1137.3536777052548
2026-06-10,scallop,2,58.96012596012313,60.43026673146704
2026-06-10,suilend,10,1723.8514281639125,1911.767520761277
2026-06-11,alphalend,13,0.15169915899999997,68299.86116234
2026-06-11,navi,26,158.52991739736694,174.3828982158497
2026-06-11,scallop,2,29.43050278948876,30.60772289519266
2026-06-12,alphalend,1,0.021542089,48433.193795539
2026-06-12,navi,55,332.6565613017856,365.92219362019296
2026-06-12,scallop,1,28.02754547558669,28.58809637851797
2026-06-13,navi,30,110.83252131588202,121.91577155760697
