protocol,tvl_usd,share_pct
navi,125966195.36435,35.41954402053204
suilend,104279320,29.321564841168975
bucket,57081976,16.05047731943449
alphalend,55161903.86882529,15.510585809843125
scallop,13150969,3.6978280090213778
